label,area,perim,circ,intensity,layer
711,82,33.55634918610404,0.9151121181029239,47.109756097560975,l5
712,120,47.55634918610404,0.666766997323033,27.5,l5
713,108,37.55634918610404,0.9622033904278662,29.166666666666668,l5
714,148,44.38477631085023,0.9440685029466487,39.45945945945946,l5
715,47,23.899494936611667,1.034023182419364,26.72340425531915,l5
716,125,40.55634918610404,0.9549973572498596,31.424,l5
717,113,39.55634918610404,0.9075193703481008,153.23893805309734,l5
718,251,57.45584412271571,0.9554658437915288,95.35856573705179,l5
719,209,52.284271247461895,0.9607580498941725,127.49760765550239,l5
720,207,54.04163056034261,0.8906833236536181,99.47342995169082,l5
721,105,35.89949493661167,1.023817352053133,31.83809523809524,l5
722,228,78.62741699796952,0.4634433911678295,24.771929824561404,l5
723,301,66.83452377915607,0.8467879004033753,25.817275747508305,l5
724,67,47.04163056034262,0.3804695747304182,14.611940298507463,empty
725,143,68.01219330881975,0.38848328766090445,16.97902097902098,empty
726,78,31.899494936611667,0.9632451984226599,27.71794871794872,l5
727,1488,266.6223663640862,0.26303869304884536,21.282258064516128,l5
728,76,38.970562748477136,0.6288543970222229,17.157894736842106,l5
729,288,101.97665940288701,0.34801726501525265,16.79861111111111,empty
730,144,55.21320343559643,0.5935898489121099,124.27083333333333,l5
731,110,41.798989873223334,0.7911721220706897,28.118181818181817,l5
732,138,42.384776310850235,0.9653152328150955,24.594202898550726,l5
733,52,29.485281374238568,0.7516274882098134,16.134615384615383,l5
734,257,61.11269837220809,0.864729086444129,24.929961089494164,l5
735,163,45.21320343559643,1.001998130205084,31.0920245398773,l5
736,56,25.31370849898476,1.0982123966043793,43.982142857142854,l5
737,66,27.899494936611664,1.065518800245358,114.03030303030303,l5
738,115,65.07716446627535,0.34123255743654973,20.208695652173912,l5
739,19,10.0,2.3876104167282426,20.57894736842105,l5
740,108,37.31370849898476,0.9747579606123108,48.166666666666664,l5
741,245,57.45584412271571,0.9326260228244005,20.8734693877551,l5
742,23,22.414213562373096,0.5752951184181364,24.0,l5
743,174,46.384776310850235,1.0162678323037178,137.22413793103448,l5
744,291,77.6335136523794,0.6067424318570054,23.83848797250859,l5
745,72,29.31370849898476,1.0529332270693823,84.625,l5
746,165,48.142135623730944,0.8946292723027067,29.36969696969697,l5
747,102,45.3492424049175,0.6232610160522072,22.19607843137255,l5
748,97,39.142135623730944,0.7955959496823242,23.948453608247423,l5
749,124,40.970562748477136,0.9282985898906704,26.169354838709676,l5
750,76,30.727922061357855,1.011479467121017,42.93421052631579,l5
751,68,28.14213562373095,1.0789583326647456,76.63235294117646,l5
752,96,34.970562748477136,0.9864517666782945,69.59375,l5
753,125,39.79898987322333,0.9916896439933324,137.584,l5
754,186,50.62741699796951,0.911908507894708,101.38709677419355,l5
755,61,28.27817459305202,0.9585989654478331,40.09836065573771,l5
756,210,57.698484809834994,0.7926844553664866,42.36190476190476,l5
757,142,42.97056274847714,0.9663982298932697,132.07042253521126,l5
758,119,38.38477631085023,1.0149363270792078,25.168067226890756,l5
759,237,55.45584412271571,0.968419597341494,34.72573839662447,l5
760,97,62.077164466275356,0.31631359342288146,25.876288659793815,l5
761,67,44.14213562373095,0.4320937506579709,15.537313432835822,l5
762,108,37.21320343559643,0.9800303046853914,142.38888888888889,l5
763,120,39.31370849898476,0.9756702971954305,28.508333333333333,l5
764,309,73.76955262170047,0.713532968157778,19.168284789644012,l5
765,276,60.8700576850888,0.9360768813549282,22.02173913043478,l5
766,52,23.899494936611667,1.14402564863419,34.51923076923077,l5
767,84,31.313708498984763,1.0765151381010825,100.94047619047619,l5
768,554,125.39087296526012,0.4427797766817189,21.0,l5
769,125,41.798989873223334,0.8990592296257837,28.352,l5
770,29,21.692388155425114,0.7744495433994738,19.551724137931036,l5
771,45,30.242640687119284,0.6182768114276246,15.755555555555556,l5
772,79,31.313708498984763,1.0124368560712562,24.240506329113924,l5
773,199,51.45584412271571,0.9444816535430239,22.77386934673367,l5
774,193,50.04163056034262,0.9685103548662044,22.476683937823836,l5
775,223,59.94112549695428,0.7799467279629213,20.68609865470852,l5
776,26,17.071067811865476,1.1211451356615063,24.923076923076923,l5
777,88,32.14213562373095,1.070392549811525,28.545454545454547,l5
778,234,56.87005768508881,0.9091978161309258,27.064102564102566,l5
779,247,55.21320343559643,1.0181714769534107,24.611336032388664,l5
780,33,22.14213562373095,0.8458333227937078,20.696969696969695,l5
781,20,17.207106781186546,0.8488367074350833,15.7,l5
782,64,28.485281374238568,0.9911715106160013,25.875,l5
783,104,79.31370849898477,0.2077527062265725,18.596153846153847,l5
784,235,62.2842712474619,0.7612388623175895,21.646808510638298,l5
785,275,61.35533905932738,0.9179897604950655,22.650909090909092,l5
786,75,45.27817459305202,0.45971990453360684,16.466666666666665,l5
787,106,35.55634918610404,1.053613687932448,30.41509433962264,l5
788,245,73.66295090390226,0.5673848343970027,20.812244897959182,l5
789,87,45.04163056034262,0.5388909725983366,18.03448275862069,l5
790,171,70.49137802864844,0.4324480799067893,21.181286549707604,l5
791,179,47.21320343559643,1.0091040704805458,24.223463687150836,l5
792,128,56.698484809834994,0.5003534831698759,15.1015625,l5
793,61,28.69238815542512,0.9311213915088306,25.78688524590164,l5
794,113,36.384776310850235,1.0726274055312732,20.5929203539823,l5
795,102,37.55634918610404,0.9087476465152069,26.80392156862745,l5
796,49,23.31370849898476,1.1328782007946037,71.48979591836735,l5
797,76,48.35533905932738,0.40844594672837564,18.105263157894736,l5
798,89,34.384776310850235,0.9459484368249004,61.80898876404494,l5
799,139,41.55634918610405,1.011462743661352,68.62589928057554,empty
800,16,12.242640687119284,1.341465907380309,20.125,l5
801,204,52.04163056034261,0.9465384070842568,20.926470588235293,l5
802,75,34.97056274847714,0.7706654427174173,22.14666666666667,l5
803,249,67.94112549695427,0.6778658216201829,21.14457831325301,l5
804,151,46.04163056034262,0.8951285721391,19.966887417218544,l5
805,34,29.449747468305834,0.4926354165628653,21.735294117647058,l5
806,168,46.2842712474619,0.9854901448173126,134.20833333333334,l5
807,32,18.48528137423857,1.1768136879086508,28.90625,l5
808,81,30.97056274847714,1.0611986514254057,150.5679012345679,empty
809,144,42.62741699796952,0.9958509024124149,22.86111111111111,l5
